"index","route","family","dynamic","redirected","generic_import","classification","runtime_status","file","sha256"
"33","/revenue-command-center/b2c-workflow/[id]","b2c-workflow","true","false","false","STATIC_ACCEPTED_DYNAMIC_RUNTIME_REQUIRED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/b2c-workflow/[id]/page.tsx","84bbebdb40cd491c13ce5416757e96178ec004536f0a9f5f0271213599441399"
"34","/revenue-command-center/b2c-workflow/[id]/qualification","b2c-workflow","true","false","false","STATIC_ACCEPTED_DYNAMIC_RUNTIME_REQUIRED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/b2c-workflow/[id]/qualification/page.tsx","8e90409e4eed558cae13ca7fea6a4d5c1c3864c864e3cd9bccf5e3fa5ad7e7b1"
"35","/revenue-command-center/b2c-workflow/[id]/quote","b2c-workflow","true","false","false","STATIC_ACCEPTED_DYNAMIC_RUNTIME_REQUIRED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/b2c-workflow/[id]/quote/page.tsx","50f26cfd966166c9b57ab04f928c05c0bc646f35791c9f21edd6245abccb1831"
"36","/revenue-command-center/b2c-workflow/[id]/recovery","b2c-workflow","true","false","false","STATIC_ACCEPTED_DYNAMIC_RUNTIME_REQUIRED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/b2c-workflow/[id]/recovery/page.tsx","0470c560f3806334e957a58875a33ad43b877ea8d921c38b8302e801d8802d87"
"37","/revenue-command-center/b2c-workflow/active-clients","b2c-workflow","false","false","false","STATIC_ACCEPTED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/b2c-workflow/active-clients/page.tsx","a1705c734a853c0bcddbae60989ecd801ae60a31f8130fd537c5c1900b2bc485"
"38","/revenue-command-center/b2c-workflow/analytics","b2c-workflow","false","false","false","STATIC_ACCEPTED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/b2c-workflow/analytics/page.tsx","fd85a73982e22065e737d68f51b5151dbc17c4717a824b1763a3ca7e9d1935f1"
"39","/revenue-command-center/b2c-workflow/care-start","b2c-workflow","false","false","false","STATIC_ACCEPTED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/b2c-workflow/care-start/page.tsx","5c589c3ba0f0d8666e36462e526536372da02534d81e48811da87bd8b8819147"
"40","/revenue-command-center/b2c-workflow/consultation","b2c-workflow","false","false","false","STATIC_ACCEPTED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/b2c-workflow/consultation/page.tsx","6c28b6ee73dd7f0a04a66c2f0ffa6f430a58f87206f0aa57cde5318014e16963"
"41","/revenue-command-center/b2c-workflow/executive","b2c-workflow","false","false","false","STATIC_ACCEPTED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/b2c-workflow/executive/page.tsx","04b0e290e83f24588e4c7830dd4e7a8e191f51d7d7d5f5d72fda2f60899e4a47"
"42","/revenue-command-center/b2c-workflow/high-value","b2c-workflow","false","false","false","STATIC_ACCEPTED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/b2c-workflow/high-value/page.tsx","e18c75f16665644b156961e534e493d4a2d10ccd32517e0b87bbc429da69eebf"
